curb_ID timestep arr_car arr_truck dep_car dep_truck
3742 0 0.000000 0.500000 0.000000 0.000000
3741 0 0.000000 0.000000 0.000000 0.000000
3541 0 0.000000 0.000000 0.000000 0.000000
3501 0 0.000000 0.000000 0.000000 0.000000
3446 0 0.000000 0.000000 0.000000 0.000000
3445 0 0.000000 0.500000 0.000000 0.000000
3372 0 0.000000 0.000000 0.000000 0.000000
3349 0 0.000000 0.000000 0.000000 0.000000
3332 0 0.000000 0.000000 0.000000 0.000000
3297 0 0.500000 0.000000 0.000000 0.000000
3279 0 0.500000 0.000000 0.000000 0.000000
6822 0 0.000000 0.000000 0.000000 0.000000
6819 0 0.000000 0.000000 0.000000 0.000000
6818 0 0.000000 0.000000 0.000000 0.000000
6817 0 0.000000 0.000000 0.000000 0.000000
3074 0 0.000000 0.000000 0.000000 0.000000
6813 0 0.000000 0.000000 0.000000 0.000000
6791 0 0.000000 0.000000 0.000000 0.000000
6774 0 0.000000 0.000000 0.000000 0.000000
3017 0 2.000000 2.000000 0.000000 0.000000
2810 0 0.000000 0.000000 0.000000 0.000000
2809 0 0.000000 0.000000 0.000000 0.000000
6502 0 0.000000 0.000000 0.000000 0.000000
6493 0 0.000000 0.000000 0.000000 0.000000
6485 0 0.000000 0.000000 0.000000 0.000000
6473 0 0.000000 0.000000 0.000000 0.000000
6472 0 0.000000 0.000000 0.000000 0.000000
2718 0 0.000000 0.000000 0.000000 0.000000
6453 0 0.000000 0.000000 0.000000 0.000000
2712 0 0.000000 0.000000 0.000000 0.000000
6451 0 0.000000 0.000000 0.000000 0.000000
2461 0 0.000000 0.000000 0.000000 0.000000
6186 0 0.000000 0.000000 0.000000 0.000000
2423 0 0.000000 0.000000 0.000000 0.000000
6075 0 0.000000 0.000000 0.000000 0.000000
5949 0 0.000000 0.000000 0.000000 0.000000
2076 0 0.000000 0.000000 0.000000 0.000000
2035 0 0.000000 0.000000 0.000000 0.000000
3757 0 0.000000 0.000000 0.000000 0.000000
1722 0 0.500000 0.500000 0.000000 0.000000
2634 0 0.000000 0.000000 0.000000 0.000000
6104 0 0.000000 0.000000 0.000000 0.000000
4363 0 0.000000 0.000000 0.000000 0.000000
1380 0 0.000000 0.000000 0.000000 0.000000
4277 0 0.000000 0.000000 0.000000 0.000000
3472 0 0.000000 0.000000 0.000000 0.000000
6801 0 0.000000 0.000000 0.000000 0.000000
2636 0 0.000000 0.000000 0.000000 0.000000
5966 0 0.000000 0.000000 0.000000 0.000000
2214 0 0.000000 0.000000 0.000000 0.000000
